sigla_uf,id_municipio,nome,numero_candidato,sigla_partido,votos,turno
RO,1100502,Novo Horizonte do Oeste,17,PSL,3152,2
RO,1100502,Novo Horizonte do Oeste,13,PT,1995,2
RO,1100601,Cacaulândia,27,DC,0,1
RO,1100601,Cacaulândia,15,MDB,42,1
RO,1100601,Cacaulândia,30,NOVO,33,1
RO,1100601,Cacaulândia,51,PATRIOTA,29,1
RO,1100601,Cacaulândia,12,PDT,82,1
RO,1100601,Cacaulândia,19,PODE,78,1
RO,1100601,Cacaulândia,54,PPL,1,1
RO,1100601,Cacaulândia,45,PSDB,158,1
RO,1100601,Cacaulândia,17,PSL,1838,1
RO,1100601,Cacaulândia,50,PSOL,14,1
RO,1100601,Cacaulândia,16,PSTU,1,1
RO,1100601,Cacaulândia,13,PT,578,1
RO,1100601,Cacaulândia,18,REDE,16,1
RO,1100601,Cacaulândia,17,PSL,1967,2
RO,1100601,Cacaulândia,13,PT,694,2
RO,1100700,Campo Novo de Rondônia,27,DC,1,1
RO,1100700,Campo Novo de Rondônia,15,MDB,78,1
RO,1100700,Campo Novo de Rondônia,30,NOVO,55,1
RO,1100700,Campo Novo de Rondônia,51,PATRIOTA,38,1
RO,1100700,Campo Novo de Rondônia,12,PDT,255,1
RO,1100700,Campo Novo de Rondônia,19,PODE,82,1
RO,1100700,Campo Novo de Rondônia,54,PPL,0,1
RO,1100700,Campo Novo de Rondônia,45,PSDB,341,1
RO,1100700,Campo Novo de Rondônia,17,PSL,3265,1
RO,1100700,Campo Novo de Rondônia,50,PSOL,23,1
RO,1100700,Campo Novo de Rondônia,16,PSTU,1,1
RO,1100700,Campo Novo de Rondônia,13,PT,1597,1
RO,1100700,Campo Novo de Rondônia,18,REDE,17,1
RO,1100700,Campo Novo de Rondônia,17,PSL,3595,2
RO,1100700,Campo Novo de Rondônia,13,PT,1789,2
RO,1100809,Candeias do Jamari,27,DC,28,1
RO,1100809,Candeias do Jamari,15,MDB,235,1
RO,1100809,Candeias do Jamari,30,NOVO,114,1
RO,1100809,Candeias do Jamari,51,PATRIOTA,189,1
RO,1100809,Candeias do Jamari,12,PDT,771,1
RO,1100809,Candeias do Jamari,19,PODE,93,1
RO,1100809,Candeias do Jamari,54,PPL,2,1
RO,1100809,Candeias do Jamari,45,PSDB,500,1
RO,1100809,Candeias do Jamari,17,PSL,6539,1
RO,1100809,Candeias do Jamari,50,PSOL,92,1
RO,1100809,Candeias do Jamari,16,PSTU,7,1
RO,1100809,Candeias do Jamari,13,PT,4022,1
RO,1100809,Candeias do Jamari,18,REDE,116,1
RO,1100809,Candeias do Jamari,17,PSL,7104,2
RO,1100809,Candeias do Jamari,13,PT,4507,2
RO,1100908,Castanheiras,27,DC,0,1
RO,1100908,Castanheiras,15,MDB,33,1
RO,1100908,Castanheiras,30,NOVO,22,1
RO,1100908,Castanheiras,51,PATRIOTA,12,1
RO,1100908,Castanheiras,12,PDT,119,1
RO,1100908,Castanheiras,19,PODE,34,1
RO,1100908,Castanheiras,54,PPL,0,1
RO,1100908,Castanheiras,45,PSDB,144,1
RO,1100908,Castanheiras,17,PSL,1076,1
RO,1100908,Castanheiras,50,PSOL,8,1
RO,1100908,Castanheiras,16,PSTU,1,1
RO,1100908,Castanheiras,13,PT,770,1
RO,1100908,Castanheiras,18,REDE,21,1
RO,1100908,Castanheiras,17,PSL,1250,2
RO,1100908,Castanheiras,13,PT,875,2
RO,1100924,Chupinguaia,27,DC,0,1
RO,1100924,Chupinguaia,15,MDB,78,1
RO,1100924,Chupinguaia,30,NOVO,18,1
RO,1100924,Chupinguaia,51,PATRIOTA,23,1
RO,1100924,Chupinguaia,12,PDT,178,1
RO,1100924,Chupinguaia,19,PODE,50,1
RO,1100924,Chupinguaia,54,PPL,0,1
RO,1100924,Chupinguaia,45,PSDB,307,1
RO,1100924,Chupinguaia,17,PSL,2853,1
RO,1100924,Chupinguaia,50,PSOL,17,1
RO,1100924,Chupinguaia,16,PSTU,1,1
RO,1100924,Chupinguaia,13,PT,1278,1
RO,1100924,Chupinguaia,18,REDE,28,1
